<Header file>
"software";"created";"content";"1";
"(aixmParser v2.26.4) ";"2021-06-25T14:09:58.320220";"airspacesCatalog";{"srcAixmFile": "../AIXM4.5_all_FR_OM_2021-06-17.xml", "srcAixmOrigin": "Sia-France", "srcAixmVersion": "4.5", "srcAixmCreated": "2021-05-06T14:48:09.497+02:00", "srcAixmEffective": "2021-06-17T00:00:00.000+02:00"};

<Content>
"zoneType";"groupZone";"vfrZone";"vfrZoneExt";"freeFlightZone";"freeFlightZoneExt";"excludeAirspaceNotCoord";"excludeAirspaceNotFfArea";"geometryType";"excludeAirspaceByFilter";"excludeAirspaceByAlt";"excludeAirspaceByRef";"deltaExt";"potentialFilter4FreeFlightZone";"orgName";"keySrcFile";"GUId";"UId";"id";"srcClass";"srcType";"srcCodeActivity";"srcLocalType";"srcCodeMil";"srcCodeLocInd";"srcName";"class";"type";"codeActivity";"name";"nameV";"desc";"Mhz";"activationCode";"activationDesc";"timeScheduling";"declassifiable";"seeNOTAM";"exceptSAT";"exceptSUN";"exceptHOL";"groundEstimatedHeight";"lowerMin";"lower";"lowerM";"ordinalLowerMinM";"ordinalLowerM";"upperMax";"upper";"upperM";"ordinalUpperMaxM";"ordinalUpperM";"WarningValDistVerLower";"WarningValDistVerUpper";"lowerType";"lowerValue";"lowerUnit";"lowerTypeMnm";"lowerValueMnm";"lowerUnitMnm";"upperType";"upperValue";"upperUnit";"lowerTypeMax";"lowerValueMax";"lowerUnitMax";"use4cfd";
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560659";"LFLC";"";"TMA";;;;;"CLERMONT";"G";"TMA";;"CLERMONT";"TMA CLERMONT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560661";"LFRG";"";"TMA";;;;;"DEAUVILLE";"G";"TMA";;"DEAUVILLE";"TMA DEAUVILLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560665";"1601";"";"D-OTHER";;"SIV";;;"SEINE";"SIV";"SIV";;"SEINE";"SEINE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560667";"1602";"";"D-OTHER";;"SIV";;;"TOULOUSE";"SIV";"SIV";;"TOULOUSE";"TOULOUSE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560669";"LFKJ";"";"TMA";;;;;"AJACCIO";"G";"TMA";;"AJACCIO";"TMA AJACCIO";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560673";"LFKB";"";"TMA";;;;;"BASTIA";"G";"TMA";;"BASTIA";"TMA BASTIA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560675";"LFOB";"";"TMA";;;;;"BEAUVAIS";"G";"TMA";;"BEAUVAIS";"TMA BEAUVAIS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560677";"LFMN";"";"TMA";;;;;"NICE";"G";"TMA";;"NICE";"TMA NICE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560679";"LFRS";"";"TMA";;;;;"NANTES";"G";"TMA";;"NANTES";"TMA NANTES";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560683";"LFPG";"";"TMA";;;;;"PARIS";"G";"TMA";;"PARIS";"TMA PARIS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560687";"LFBI";"";"TMA";;;;;"POITIERS";"G";"TMA";;"POITIERS";"TMA POITIERS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560691";"LFBH";"";"TMA";;;;;"LA ROCHELLE";"G";"TMA";;"LA ROCHELLE";"TMA LA ROCHELLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560695";"LFQQ";"";"TMA";;;;;"LILLE";"G";"TMA";;"LILLE";"TMA LILLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560703";"LFLL";"";"TMA";;;;;"LYON";"G";"TMA";;"LYON";"TMA LYON";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560705";"1599";"";"D-OTHER";;"SIV";;;"RENNES";"SIV";"SIV";;"RENNES";"RENNES";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560709";"LFNICE";"";"D-OTHER";;"SIV";;;"NICE";"SIV";"SIV";;"NICE";"NICE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560711";"1594";"";"D-OTHER";;"SIV";;;"NANTES";"SIV";"SIV";;"NANTES";"NANTES";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560715";"1590";"";"D-OTHER";;"SIV";;;"LILLE";"SIV";"SIV";;"LILLE";"LILLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560717";"1589";"";"D-OTHER";;"SIV";;;"LA ROCHELLE";"SIV";"SIV";;"LA ROCHELLE";"LA ROCHELLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560719";"1587";"";"D-OTHER";;"SIV";;;"DEAUVILLE";"SIV";"SIV";;"DEAUVILLE";"DEAUVILLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560739";"3002";"";"D-OTHER";;"SIV";;;"AQUITAINE";"SIV";"SIV";;"AQUITAINE";"AQUITAINE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560741";"3003";"";"D-OTHER";;"SIV";;;"IROISE";"SIV";"SIV";;"IROISE";"IROISE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Airspace Zone";"False";"True";"False";"True";"False";;;;;;;;"True";"FRANCE";;;"1560861";"LFRN4";"D";"TMA";;;;;"RENNES 4";"D";"TMA";;"RENNES 4";"TMA RENNES 4";;;"H24";;;;;;;;;;"2500FT AMSL";"762";;;;"FL115";"3505";;;;;"ALT";"2500";"FT";;;;"STD";"115";"FL";;;;;
"Airspace Zone";"False";"False";"True";"False";"True";;;;;"True";;;"True";"FRANCE";;;"1560933";"LFLC2";"D";"TMA";;;;;"CLERMONT 2";"D";"TMA";;"CLERMONT 2";"TMA CLERMONT 2";;;"H24";;;;;;;;;;"FL145";"4419";;;;"FL195";"5943";;;;;"STD";"145";"FL";;;;"STD";"195";"FL";;;;;
"Airspace Zone";"False";"True";"True";"True";"True";;;;;;;;"True";"FRANCE";;;"1560943";"LFLC1.20";"D";"TMA";;;;;"CLERMONT 1.20";"D";"TMA";;"CLERMONT 1.20";"TMA CLERMONT 1.20 Lower(1000FT AGL-2700FT AMSL)";;;"H24";;;;;;;;;"1000FT AGL";"2700FT AMSL";"822";"304";;;"FL145";"4419";;;;;"ALT";"2700";"FT";"HEI";"1000";"FT";"STD";"145";"FL";;;;;
"Airspace Zone";"False";"False";"True";"False";"True";;;;;"True";;;"True";"FRANCE";;;"1560953";"LFLC3";"D";"TMA";;;;;"CLERMONT 3";"D";"TMA";;"CLERMONT 3";"TMA CLERMONT 3";;;"H24";;;;;;;;;;"FL145";"4419";;;;"FL195";"5943";;;;;"STD";"145";"FL";;;;"STD";"195";"FL";;;;;
"Airspace Zone";"False";"False";"True";"False";"True";;;;;"True";;;"True";"FRANCE";;;"1560957";"LFLC4";"D";"TMA";;;;;"CLERMONT 4";"D";"TMA";;"CLERMONT 4";"TMA CLERMONT 4";;;"H24";;;;;;;;;;"FL145";"4419";;;;"FL195";"5943";;;;;"STD";"145";"FL";;;;"STD";"195";"FL";;;;;
"Airspace Zone";"False";"False";"True";"False";"True";;;;;"True";;;"True";"FRANCE";;;"1560963";"LFLC6";"D";"TMA";;;;;"CLERMONT 6";"D";"TMA";;"CLERMONT 6";"TMA CLERMONT 6";;;"H24";;;;;;;;;;"FL145";"4419";;;;"FL195";"5943";;;;;"STD";"145";"FL";;;;"STD";"195";"FL";;;;;
